group,team
A,Mexico
A,South Africa
A,South Korea
A,Czechia
B,Canada
B,Switzerland
B,Qatar
B,Bosnia and Herzegovina
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,United States
D,Paraguay
D,Australia
D,Turkey
E,Germany
E,Ivory Coast
E,Ecuador
E,Curaçao
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Spain
H,Cape Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,Norway
I,Iraq
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Colombia
K,DR Congo
K,Portugal
K,Uzbekistan
L,England
L,Croatia
L,Ghana
L,Panama
