team,confederation,elo,elo_asof,fifa_rank,fifa_points
Spain,UEFA,2155,2026-06-08,3,1840
Argentina,CONMEBOL,2114,2026-06-08,1,1880
France,UEFA,2062,2026-06-08,2,1870
England,UEFA,2021,2026-06-08,4,1820
Brazil,CONMEBOL,1991,2026-06-08,6,1790
Portugal,UEFA,1986,2026-06-08,5,1800
Colombia,CONMEBOL,1982,2026-06-08,10,1750
Netherlands,UEFA,1965,2026-06-08,7,1775
Germany,UEFA,1955,2026-06-08,9,1760
Belgium,UEFA,1930,2026-06-08,8,1770
Morocco,CAF,1895,2026-06-08,11,1700
Croatia,UEFA,1890,2026-06-08,12,1695
Norway,UEFA,1885,2026-06-08,21,1620
Japan,AFC,1875,2026-06-08,13,1690
Uruguay,CONMEBOL,1865,2026-06-08,14,1680
Senegal,CAF,1858,2026-06-08,22,1615
Mexico,CONCACAF,1852,2026-06-08,15,1660
United States,CONCACAF,1847,2026-06-08,16,1650
Sweden,UEFA,1845,2026-06-08,27,1570
Switzerland,UEFA,1840,2026-06-08,18,1635
Ecuador,CONMEBOL,1835,2026-06-08,20,1625
Turkey,UEFA,1833,2026-06-08,17,1640
Austria,UEFA,1825,2026-06-08,23,1600
South Korea,AFC,1818,2026-06-08,19,1630
Czechia,UEFA,1812,2026-06-08,33,1550
Canada,CONCACAF,1800,2026-06-08,24,1595
Algeria,CAF,1790,2026-06-08,25,1590
Australia,AFC,1785,2026-06-08,26,1575
Iran,AFC,1775,2026-06-08,28,1565
Paraguay,CONMEBOL,1765,2026-06-08,29,1560
Ivory Coast,CAF,1760,2026-06-08,30,1555
Saudi Arabia,AFC,1748,2026-06-08,31,1545
Scotland,UEFA,1742,2026-06-08,34,1535
Tunisia,CAF,1730,2026-06-08,35,1525
DR Congo,CAF,1718,2026-06-08,36,1510
Bosnia and Herzegovina,UEFA,1710,2026-06-08,34,1530
South Africa,CAF,1698,2026-06-08,37,1500
Egypt,CAF,1672,2026-06-08,39,1480
Qatar,AFC,1668,2026-06-08,38,1490
Ghana,CAF,1662,2026-06-08,40,1475
Uzbekistan,AFC,1650,2026-06-08,41,1465
Iraq,AFC,1645,2026-06-08,42,1460
Cape Verde,CAF,1625,2026-06-08,43,1445
New Zealand,OFC,1615,2026-06-08,44,1440
Panama,CONCACAF,1602,2026-06-08,45,1430
Jordan,AFC,1595,2026-06-08,46,1420
Haiti,CONCACAF,1582,2026-06-08,47,1410
Curaçao,CONCACAF,1565,2026-06-08,48,1390
