player,team,decimal_odds,bookmaker,quote_date,position
Kylian Mbappe,France,7.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Harry Kane,England,8.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Erling Haaland,Norway,15.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Lionel Messi,Argentina,17.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Mikel Oyarzabal,Spain,19.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Lamine Yamal,Spain,21.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Cristiano Ronaldo,Portugal,26.00,FanDuel (via Oddschecker US insight),2026-06-08,forward
Lamine Yamal,Spain,23.00,US books (Bookies.com roundup; 3 days to go),2026-06-08,forward
Kylian Mbappe,France,7.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Lionel Messi,Argentina,13.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Erling Haaland,Norway,13.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Lamine Yamal,Spain,15.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Cristiano Ronaldo,Portugal,23.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Vinicius Junior,Brazil,26.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Raphinha,Brazil,29.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Viktor Gyokeres,Sweden,34.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Julian Alvarez,Argentina,36.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Lois Openda,Belgium,51.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Jude Bellingham,England,51.00,DraftKings (via FOX Sports/Covers),2026-06-08,midfielder
Memphis Depay,Netherlands,51.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Jamal Musiala,Germany,66.00,DraftKings (via FOX Sports/Covers),2026-06-08,midfielder
Santiago Gimenez,Mexico,66.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
Christian Pulisic,USA,126.00,DraftKings (via FOX Sports/Covers),2026-06-08,midfielder
Jonathan David,Canada,151.00,DraftKings (via FOX Sports/Covers),2026-06-08,forward
