team,decimal_odds,bookmaker,quote_date
Spain,5.50,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
France,6.00,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
England,7.50,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
Brazil,9.50,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
Argentina,11.00,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
USA,61.00,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
Mexico,61.00,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
Canada,176.00,US consensus (NYSportsDay/Bookies.com roundup),2026-06-10
Spain,5.50,ESPN BET (ESPN odds roundup),2026-06-09
France,5.75,ESPN BET (ESPN odds roundup),2026-06-09
England,8.00,ESPN BET (ESPN odds roundup),2026-06-09
Portugal,9.50,ESPN BET (ESPN odds roundup),2026-06-09
Argentina,10.00,ESPN BET (ESPN odds roundup),2026-06-09
Brazil,10.00,ESPN BET (ESPN odds roundup),2026-06-09
Germany,15.00,ESPN BET (ESPN odds roundup),2026-06-09
Netherlands,21.00,ESPN BET (ESPN odds roundup),2026-06-09
Norway,36.00,ESPN BET (ESPN odds roundup),2026-06-09
Belgium,41.00,ESPN BET (ESPN odds roundup),2026-06-09
Colombia,41.00,ESPN BET (ESPN odds roundup),2026-06-09
Uruguay,66.00,ESPN BET (ESPN odds roundup),2026-06-09
Spain,5.50,BetMGM (via Yahoo Sports),2026-06-08
France,6.00,BetMGM (via Yahoo Sports),2026-06-08
England,8.00,BetMGM (via Yahoo Sports),2026-06-08
Brazil,9.00,BetMGM (via Yahoo Sports),2026-06-08
Portugal,10.00,BetMGM (via Yahoo Sports),2026-06-08
Argentina,10.00,BetMGM (via Yahoo Sports),2026-06-08
Germany,15.00,BetMGM (via Yahoo Sports),2026-06-08
Netherlands,21.00,BetMGM (via Yahoo Sports),2026-06-08
USA,51.00,BetMGM (via Yahoo Sports),2026-06-08
Spain,5.50,bet365,2026-06-05
France,6.00,bet365,2026-06-05
England,7.50,bet365,2026-06-05
Spain,5.50,William Hill,2026-06 (early June; undated page)
France,5.50,William Hill,2026-06 (early June; undated page)
England,7.00,William Hill,2026-06 (early June; undated page)
Brazil,9.00,William Hill,2026-06 (early June; undated page)
Portugal,9.00,William Hill,2026-06 (early June; undated page)
Argentina,10.00,William Hill,2026-06 (early June; undated page)
Spain,5.75,FanDuel,2026-06-02
France,6.00,FanDuel,2026-06-02
England,7.50,FanDuel,2026-06-02
Brazil,9.50,FanDuel,2026-06-02
Argentina,10.00,FanDuel,2026-06-02
Portugal,11.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Germany,15.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Netherlands,23.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Norway,36.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Belgium,36.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Colombia,41.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Morocco,51.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Uruguay,51.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
Croatia,81.00,US sportsbooks consensus (FanDuel-aligned roundup),2026-06-08
USA,61.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
Switzerland,66.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
Japan,66.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
Mexico,81.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
Ecuador,81.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
Senegal,91.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
Austria,151.00,US sportsbooks consensus (FOX/Yahoo roundup),2026-06-08
France,6.17,Polymarket (exchange; implied from 16.2%),2026-06-10
Spain,6.25,Polymarket (exchange; implied from 16.0%),2026-06-10
England,9.09,Polymarket (exchange; implied from 11%),2026-06-10
Portugal,10.00,Polymarket (exchange; implied from 10%),2026-06-10
Argentina,11.11,Polymarket (exchange; implied from 9%),2026-06-10
Spain,6.06,Kalshi (exchange; implied from 16.5%),2026-06-10
