team,group,elo,rating,avg_odds,p_win_group,p_advance,p_R32,p_R16,p_QF,p_SF,p_Final,p_Champion,exp_group_goals,avg_ko_matches
Spain,H,2155,2126.8,5.7,0.7095,0.9845,0.969,0.7848,0.5811,0.428,0.3108,0.1866,7.54,3.07
France,I,2062,2122.7,5.92,0.5956,0.9556,0.9556,0.6889,0.4703,0.3089,0.2059,0.131,6.47,2.63
Argentina,J,2114,2095.0,10.35,0.7058,0.9812,0.9788,0.6895,0.4376,0.271,0.1737,0.1057,7.34,2.55
England,L,2021,2061.6,7.8,0.6851,0.9822,1.201,0.8516,0.523,0.3038,0.1773,0.104,7.35,3.06
Brazil,C,1991,2001.0,9.4,0.5861,0.9628,0.9628,0.7382,0.5138,0.3638,0.1828,0.0866,6.63,2.76
Portugal,K,1986,2038.8,9.9,0.568,0.9549,1.2273,0.8039,0.4582,0.2585,0.1426,0.0792,6.49,2.89
Germany,E,1955,1966.8,15.0,0.5831,0.958,0.958,0.6977,0.4742,0.2145,0.1149,0.0532,6.49,2.46
Netherlands,F,1965,1977.6,21.67,0.5046,0.9106,0.7966,0.4993,0.2768,0.1525,0.0781,0.0373,5.71,1.8
Colombia,K,1982,1935.2,41.0,0.339,0.8991,1.2736,0.6779,0.3082,0.1511,0.0656,0.0294,5.53,2.48
Belgium,G,1930,1903.3,38.5,0.667,0.9541,0.9541,0.6141,0.359,0.1349,0.0704,0.0259,6.69,2.13
Norway,I,1885,1932.7,36.0,0.2299,0.8216,0.8216,0.4475,0.2189,0.1122,0.0463,0.0214,4.77,1.65
United States,D,1847,1791.7,57.67,0.5344,0.9034,0.8221,0.5291,0.34,0.1562,0.0568,0.0193,5.65,1.9
Morocco,C,1895,1865.7,51.0,0.3105,0.8918,0.8918,0.556,0.2623,0.1446,0.0525,0.0174,5.45,1.91
Uruguay,H,1865,1883.8,58.5,0.2344,0.8821,0.8288,0.4426,0.1485,0.0746,0.0375,0.0132,5.46,1.53
Mexico,A,1852,1800.6,71.0,0.5895,0.9261,0.9261,0.4878,0.2295,0.1148,0.0383,0.0127,6.02,1.8
Japan,F,1875,1879.0,66.0,0.3076,0.8251,0.663,0.3651,0.1906,0.083,0.0326,0.0125,4.76,1.33
Switzerland,B,1840,1826.0,66.0,0.4066,0.8714,0.8714,0.5353,0.2794,0.1152,0.0364,0.0118,5.2,1.84
Croatia,L,1890,1852.8,81.0,0.2644,0.8955,1.3093,0.5941,0.2178,0.0928,0.0322,0.0114,5.6,2.25
