group,predicted_rank,team,p_pos1,p_pos2,p_pos3,p_pos4,mean_rank
A,1,Mexico,0.536,0.2552,0.1398,0.0689,1.742
A,2,South Korea,0.1931,0.2876,0.2886,0.2307,2.557
A,3,Czechia,0.1838,0.2768,0.2916,0.2478,2.603
A,4,South Africa,0.0871,0.1804,0.2798,0.4526,3.098
B,1,Switzerland,0.4496,0.3222,0.1602,0.068,1.847
B,2,Canada,0.3969,0.3442,0.177,0.0819,1.944
B,3,Bosnia and Herzegovina,0.0944,0.1943,0.358,0.3532,2.97
B,4,Qatar,0.0591,0.1394,0.3047,0.4968,3.239
C,1,Brazil,0.6134,0.2784,0.0911,0.0171,1.512
C,2,Morocco,0.2954,0.4355,0.2092,0.0598,2.033
C,3,Scotland,0.078,0.2208,0.4666,0.2346,2.858
C,4,Haiti,0.0132,0.0653,0.2331,0.6884,3.597
D,1,United States,0.5264,0.2509,0.1442,0.0786,1.775
D,2,Turkey,0.1819,0.2711,0.2838,0.2632,2.628
D,3,Australia,0.1584,0.2505,0.2872,0.3038,2.736
D,4,Paraguay,0.1333,0.2275,0.2848,0.3544,2.86
E,1,Germany,0.6003,0.2812,0.0978,0.0208,1.539
E,2,Ecuador,0.3003,0.4302,0.2082,0.0613,2.03
E,3,Ivory Coast,0.0846,0.2205,0.4568,0.2382,2.848
E,4,Curaçao,0.0148,0.0682,0.2373,0.6798,3.582
F,1,Netherlands,0.5356,0.2769,0.1337,0.0537,1.706
F,2,Japan,0.2978,0.3579,0.2242,0.12,2.166
F,3,Sweden,0.1112,0.2243,0.3516,0.3129,2.866
F,4,Tunisia,0.0553,0.1408,0.2905,0.5134,3.262
G,1,Belgium,0.6904,0.1973,0.0856,0.0268,1.449
G,2,Iran,0.1879,0.4085,0.2526,0.151,2.367
G,3,New Zealand,0.0568,0.254,0.2837,0.4054,3.038
G,4,Egypt,0.0649,0.1402,0.3781,0.4168,3.147
H,1,Spain,0.7025,0.2354,0.053,0.009,1.369
H,2,Uruguay,0.237,0.4933,0.2092,0.0605,2.093
H,3,Saudi Arabia,0.0503,0.2021,0.471,0.2766,2.974
H,4,Cape Verde,0.0102,0.0692,0.2667,0.6539,3.564
I,1,France,0.595,0.264,0.1172,0.0238,1.57
I,2,Norway,0.2441,0.3777,0.289,0.0892,2.223
I,3,Senegal,0.1463,0.2983,0.4049,0.1504,2.56
I,4,Iraq,0.0146,0.06,0.1888,0.7366,3.647
J,1,Argentina,0.7174,0.2113,0.0617,0.0096,1.364
J,2,Austria,0.1975,0.46,0.2572,0.0853,2.23
J,3,Algeria,0.0738,0.2564,0.4491,0.2207,2.817
J,4,Jordan,0.0112,0.0724,0.232,0.6844,3.59
K,1,Portugal,0.5777,0.3044,0.0928,0.0251,1.565
K,2,Colombia,0.3462,0.4359,0.1635,0.0544,1.926
K,3,DR Congo,0.0472,0.1543,0.4121,0.3864,3.138
K,4,Uzbekistan,0.029,0.1054,0.3316,0.534,3.371
L,1,England,0.69,0.2542,0.048,0.0077,1.373
L,2,Croatia,0.268,0.5184,0.1652,0.0483,1.994
L,3,Ghana,0.0309,0.1494,0.4685,0.3512,3.14
L,4,Panama,0.0111,0.078,0.3182,0.5928,3.493
